template_id,template,dof,cpt_class_representative,is_cpt_representative
123,"(1,1) + (1,1) + (1,2) + (3,1) + (3,2) + (3b,1)",48,"(1,1) + (1,1) + (1,2) + (3,1) + (3,2) + (3b,1)",True
124,"(1,1) + (1,1) + (1,2) + (3,1) + (3b,1) + (3b,2)",48,"(1,1) + (1,1) + (1,2) + (3,1) + (3,2) + (3b,1)",False
125,"(1,1) + (1,1) + (1,2) + (3,2) + (3b,1) + (3b,1)",48,"(1,1) + (1,1) + (1,2) + (3,1) + (3,1) + (3b,2)",False
126,"(1,1) + (1,1) + (1,2) + (3,2) + (6,1)",48,"(1,1) + (1,1) + (1,2) + (3,2) + (6,1)",True
127,"(1,1) + (1,1) + (1,2) + (3,2) + (6b,1)",48,"(1,1) + (1,1) + (1,2) + (3,2) + (6b,1)",True
128,"(1,1) + (1,1) + (1,2) + (3b,1) + (3b,1) + (3b,2)",48,"(1,1) + (1,1) + (1,2) + (3,1) + (3,1) + (3,2)",False
129,"(1,1) + (1,1) + (1,2) + (3b,2) + (6,1)",48,"(1,1) + (1,1) + (1,2) + (3,2) + (6b,1)",False
130,"(1,1) + (1,1) + (1,2) + (3b,2) + (6b,1)",48,"(1,1) + (1,1) + (1,2) + (3,2) + (6,1)",False
131,"(1,1) + (1,1) + (1,2) + (6,2)",48,"(1,1) + (1,1) + (1,2) + (6,2)",True
132,"(1,1) + (1,1) + (1,2) + (6b,2)",48,"(1,1) + (1,1) + (1,2) + (6,2)",False
133,"(1,1) + (1,1) + (3,2) + (8,1)",48,"(1,1) + (1,1) + (3,2) + (8,1)",True
134,"(1,1) + (1,1) + (3b,2) + (8,1)",48,"(1,1) + (1,1) + (3,2) + (8,1)",False
135,"(1,1) + (3,1) + (3,1) + (3,1) + (3,2)",48,"(1,1) + (3,1) + (3,1) + (3,1) + (3,2)",True
136,"(1,1) + (3,1) + (3,1) + (3,1) + (3b,2)",48,"(1,1) + (3,1) + (3,1) + (3,1) + (3b,2)",True
137,"(1,1) + (3,1) + (3,1) + (3,2) + (3b,1)",48,"(1,1) + (3,1) + (3,1) + (3,2) + (3b,1)",True
