template_id,template,dof,first_failing_filter_or_status
123,"(1,1) + (1,1) + (1,2) + (3,1) + (3,2) + (3b,1)",48,F4_SU3_cubic
124,"(1,1) + (1,1) + (1,2) + (3,1) + (3b,1) + (3b,2)",48,F4_SU3_cubic
125,"(1,1) + (1,1) + (1,2) + (3,2) + (3b,1) + (3b,1)",48,SURVIVOR_NONMINIMAL
126,"(1,1) + (1,1) + (1,2) + (3,2) + (6,1)",48,F4_SU3_cubic
127,"(1,1) + (1,1) + (1,2) + (3,2) + (6b,1)",48,F4_SU3_cubic
128,"(1,1) + (1,1) + (1,2) + (3b,1) + (3b,1) + (3b,2)",48,F4_SU3_cubic
129,"(1,1) + (1,1) + (1,2) + (3b,2) + (6,1)",48,F4_SU3_cubic
130,"(1,1) + (1,1) + (1,2) + (3b,2) + (6b,1)",48,F4_SU3_cubic
131,"(1,1) + (1,1) + (1,2) + (6,2)",48,F3_content
132,"(1,1) + (1,1) + (1,2) + (6b,2)",48,F3_content
133,"(1,1) + (1,1) + (3,2) + (8,1)",48,F4_SU3_cubic
134,"(1,1) + (1,1) + (3b,2) + (8,1)",48,F4_SU3_cubic
135,"(1,1) + (3,1) + (3,1) + (3,1) + (3,2)",48,F4_SU3_cubic
136,"(1,1) + (3,1) + (3,1) + (3,1) + (3b,2)",48,F4_SU3_cubic
137,"(1,1) + (3,1) + (3,1) + (3,2) + (3b,1)",48,F4_SU3_cubic
138,"(1,1) + (3,1) + (3,1) + (3b,1) + (3b,2)",48,F4_SU3_cubic
139,"(1,1) + (3,1) + (3,2) + (3b,1) + (3b,1)",48,F4_SU3_cubic
140,"(1,1) + (3,1) + (3,2) + (6,1)",48,F4_SU3_cubic
141,"(1,1) + (3,1) + (3,2) + (6b,1)",48,F4_SU3_cubic
142,"(1,1) + (3,1) + (3b,1) + (3b,1) + (3b,2)",48,F4_SU3_cubic
143,"(1,1) + (3,1) + (3b,2) + (6,1)",48,F4_SU3_cubic
144,"(1,1) + (3,1) + (3b,2) + (6b,1)",48,F4_SU3_cubic
145,"(1,1) + (3,1) + (6,2)",48,F1_SU3_AF
146,"(1,1) + (3,1) + (6b,2)",48,F1_SU3_AF
147,"(1,1) + (3,2) + (3b,1) + (3b,1) + (3b,1)",48,F4_SU3_cubic
148,"(1,1) + (3,2) + (3b,1) + (6,1)",48,F4_SU3_cubic
149,"(1,1) + (3,2) + (3b,1) + (6b,1)",48,F4_SU3_cubic
150,"(1,1) + (3b,1) + (3b,1) + (3b,1) + (3b,2)",48,F4_SU3_cubic
151,"(1,1) + (3b,1) + (3b,2) + (6,1)",48,F4_SU3_cubic
152,"(1,1) + (3b,1) + (3b,2) + (6b,1)",48,F4_SU3_cubic
153,"(1,1) + (3b,1) + (6,2)",48,F1_SU3_AF
154,"(1,1) + (3b,1) + (6b,2)",48,F1_SU3_AF
155,"(1,2) + (3,2) + (8,1)",48,F4_SU3_cubic
156,"(1,2) + (3b,2) + (8,1)",48,F4_SU3_cubic
157,"(8,2)",48,F1_SU3_AF
158,"(1,1) + (1,1) + (3,1) + (3,1) + (3,1) + (3,2)",51,F4_SU3_cubic
159,"(1,1) + (1,1) + (3,1) + (3,1) + (3,1) + (3b,2)",51,F4_SU3_cubic
160,"(1,1) + (1,1) + (3,1) + (3,1) + (3,2) + (3b,1)",51,F4_SU3_cubic
161,"(1,1) + (1,1) + (3,1) + (3,1) + (3b,1) + (3b,2)",51,F4_SU3_cubic
162,"(1,1) + (1,1) + (3,1) + (3,2) + (3b,1) + (3b,1)",51,F4_SU3_cubic
163,"(1,1) + (1,1) + (3,1) + (3,2) + (6,1)",51,F4_SU3_cubic
164,"(1,1) + (1,1) + (3,1) + (3,2) + (6b,1)",51,F4_SU3_cubic
165,"(1,1) + (1,1) + (3,1) + (3b,1) + (3b,1) + (3b,2)",51,F4_SU3_cubic
166,"(1,1) + (1,1) + (3,1) + (3b,2) + (6,1)",51,F4_SU3_cubic
167,"(1,1) + (1,1) + (3,1) + (3b,2) + (6b,1)",51,F4_SU3_cubic
168,"(1,1) + (1,1) + (3,1) + (6,2)",51,F1_SU3_AF
169,"(1,1) + (1,1) + (3,1) + (6b,2)",51,F1_SU3_AF
170,"(1,1) + (1,1) + (3,2) + (3b,1) + (3b,1) + (3b,1)",51,F4_SU3_cubic
171,"(1,1) + (1,1) + (3,2) + (3b,1) + (6,1)",51,F4_SU3_cubic
172,"(1,1) + (1,1) + (3,2) + (3b,1) + (6b,1)",51,F4_SU3_cubic
173,"(1,1) + (1,1) + (3b,1) + (3b,1) + (3b,1) + (3b,2)",51,F4_SU3_cubic
174,"(1,1) + (1,1) + (3b,1) + (3b,2) + (6,1)",51,F4_SU3_cubic
175,"(1,1) + (1,1) + (3b,1) + (3b,2) + (6b,1)",51,F4_SU3_cubic
176,"(1,1) + (1,1) + (3b,1) + (6,2)",51,F1_SU3_AF
177,"(1,1) + (1,1) + (3b,1) + (6b,2)",51,F1_SU3_AF
178,"(1,1) + (1,2) + (3,2) + (8,1)",51,F4_SU3_cubic
179,"(1,1) + (1,2) + (3b,2) + (8,1)",51,F4_SU3_cubic
180,"(1,1) + (8,2)",51,F1_SU3_AF
181,"(1,2) + (3,1) + (3,1) + (3,1) + (3,2)",51,F4_SU3_cubic
182,"(1,2) + (3,1) + (3,1) + (3,1) + (3b,2)",51,F4_SU3_cubic
183,"(1,2) + (3,1) + (3,1) + (3,2) + (3b,1)",51,F4_SU3_cubic
